Time,IsBeat?,BPM,EDR,Time after start,Relative BPM,Relative EDR
349961,beat,333,204,27386,0.536697248,0.229927007
350178,beat,333,205,27603,0.536697248,0.233576642
350476,beat,333,205,27901,0.536697248,0.233576642
350710,beat,333,208,28135,0.536697248,0.244525547
350922,beat,335,207,28347,0.54587156,0.240875912
351120,beat,335,208,28545,0.54587156,0.244525547
351245,beat,335,208,28670,0.54587156,0.244525547
351434,beat,335,209,28859,0.54587156,0.248175182
351651,beat,335,209,29076,0.54587156,0.248175182
351776,beat,335,209,29201,0.54587156,0.248175182
351950,beat,335,210,29375,0.54587156,0.251824818
352184,beat,335,211,29609,0.54587156,0.255474453
352406,beat,335,210,29831,0.54587156,0.251824818
352592,beat,335,212,30017,0.54587156,0.259124088
352727,beat,335,211,30152,0.54587156,0.255474453
352923,beat,335,211,30348,0.54587156,0.255474453
353127,beat,335,211,30552,0.54587156,0.255474453
353250,beat,335,212,30675,0.54587156,0.259124088
353433,beat,335,213,30858,0.54587156,0.262773723
353656,beat,335,213,31081,0.54587156,0.262773723
353884,beat,335,213,31309,0.54587156,0.262773723
354183,beat,335,214,31608,0.54587156,0.266423358
354392,beat,335,214,31817,0.54587156,0.266423358
354601,beat,335,233,32026,0.54587156,0.335766423
354717,beat,335,215,32142,0.54587156,0.270072993
354909,beat,316,209,32334,0.458715596,0.248175182
355016,beat,316,211,32441,0.458715596,0.255474453
355147,beat,316,212,32572,0.458715596,0.259124088
355357,beat,316,210,32782,0.458715596,0.251824818
355549,beat,316,208,32974,0.458715596,0.244525547
355668,beat,316,207,33093,0.458715596,0.240875912
355858,beat,316,206,33283,0.458715596,0.237226277
356074,beat,316,206,33499,0.458715596,0.237226277
356208,beat,316,205,33633,0.458715596,0.233576642
356312,beat,316,204,33737,0.458715596,0.229927007
356491,beat,316,203,33916,0.458715596,0.226277372
356817,beat,316,201,34242,0.458715596,0.218978102
357033,beat,316,200,34458,0.458715596,0.215328467
357326,beat,316,198,34751,0.458715596,0.208029197
357567,beat,316,197,34992,0.458715596,0.204379562
357772,beat,316,198,35197,0.458715596,0.208029197
357972,beat,316,201,35397,0.458715596,0.218978102
358281,beat,316,194,35706,0.458715596,0.193430657
358501,beat,316,195,35926,0.458715596,0.197080292
358733,beat,316,192,36158,0.458715596,0.186131387
358924,beat,316,190,36349,0.458715596,0.178832117
359058,beat,296,188,36483,0.366972477,0.171532847
359242,beat,296,188,36667,0.366972477,0.171532847
359465,beat,296,187,36890,0.366972477,0.167883212
359575,beat,296,187,37000,0.366972477,0.167883212
359689,beat,296,187,37114,0.366972477,0.167883212
359739,beat,296,189,37164,0.366972477,0.175182482
359744,beat,296,188,37169,0.366972477,0.171532847
359990,beat,296,213,37415,0.366972477,0.262773723
360199,beat,296,181,37624,0.366972477,0.145985401
360407,beat,296,184,37832,0.366972477,0.156934307
360522,beat,296,184,37947,0.366972477,0.156934307
360632,beat,296,184,38057,0.366972477,0.156934307
360696,beat,296,182,38121,0.366972477,0.149635036
360955,beat,296,307,38380,0.366972477,0.605839416
361164,beat,296,193,38589,0.366972477,0.189781022
361339,beat,296,184,38764,0.366972477,0.156934307
361344,beat,296,184,38769,0.366972477,0.156934307
361473,beat,296,185,38898,0.366972477,0.160583942
361583,beat,296,183,39008,0.366972477,0.153284672
361664,beat,296,181,39089,0.366972477,0.145985401
361899,beat,296,179,39324,0.366972477,0.138686131
362005,beat,434,182,39430,1,0.149635036
362115,beat,434,184,39540,1,0.156934307
362165,beat,434,185,39590,1,0.160583942
362423,beat,434,186,39848,1,0.164233577
362630,beat,434,185,40055,1,0.160583942
362839,beat,434,185,40264,1,0.160583942
363139,beat,434,184,40564,1,0.156934307
363370,beat,434,183,40795,1,0.153284672
363596,beat,434,183,41021,1,0.153284672
363762,beat,434,185,41187,1,0.160583942
363898,beat,434,185,41323,1,0.160583942
364096,beat,434,186,41521,1,0.164233577
364305,beat,434,262,41730,1,0.441605839
364610,beat,434,204,42035,1,0.229927007
364845,beat,434,189,42270,1,0.175182482
364958,beat,434,188,42383,1,0.171532847
365046,beat,434,188,42471,1,0.171532847
365271,beat,434,185,42696,1,0.160583942
365562,beat,434,189,42987,1,0.175182482
365795,beat,434,187,43220,1,0.167883212
365920,beat,315,186,43345,0.45412844,0.164233577
365925,beat,315,186,43350,0.45412844,0.164233577
366007,beat,315,186,43432,0.45412844,0.164233577
366329,beat,315,186,43754,0.45412844,0.164233577
366516,beat,315,187,43941,0.45412844,0.167883212
366745,beat,315,186,44170,0.45412844,0.164233577
366963,beat,315,316,44388,0.45412844,0.638686131
367153,beat,315,195,44578,0.45412844,0.197080292
367276,beat,315,189,44701,0.45412844,0.175182482
367471,beat,315,187,44896,0.45412844,0.167883212
367694,beat,315,187,45119,0.45412844,0.167883212
367810,beat,315,185,45235,0.45412844,0.160583942
367915,beat,315,186,45340,0.45412844,0.164233577
368234,beat,315,185,45659,0.45412844,0.160583942
